84,-64,4,0,0,0,0,0,0,0,0,0,1,13,1,12,1,12,1,12,1,12,2,12,2,12,3,13,4,14,2,14,6,14,5,15,5,16,4,16,5,15,7,17,6,16,6,16,5,16,6,18,5,17,7,18,4,19,5,18,7,20,5,19,0,0,4,19,8,20,5,21,6,19,5,18,5,20,3,21,3,18,10,20,1,21,1,20,4,16,5,16,4,16,6,16,7,16,6,17,5,16,6,16,4,15,5,15,6,15,5,16,6,16,5,16,5,16,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,21,14,19,13,20,12,21,10,18,9,18,8,17,6,16,5,17,5,16,3,18,1,17,0,16,-1,16,-2,15,-1,16,-3,14,-3,13,-3,13,-4,13,-5,13,-5,13,-5,10,-4,12,-6,11,-7,11,-6,0,0,11,-6,10,-5,10,-6,8,-6,10,-3,8,-3,8,-2,9,-2,8,1,9,0,8,1,8,3,7,5,9,5,6,7,6,9,6,11,5,11,5,13,3,14,3,16,1,17,1,19,3,21,0,21,-3,23,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,8,-22,6,-20,6,-22,5,-22,5,-19,4,-18,2,-19,4,-17,1,-16,1,-17,0,-17,0,-17,3,-16,-3,-18,-1,-12,-8,-18,-5,-16,-5,-7,-4,-13,-8,-17,-7,-20,-9,-18,-4,-18,-5,-14,-7,-19,-2,-13,0,0,-6,-15,-18,-14,-9,-12,-14,-17,-11,-14,-6,-10,-3,-5,-6,-8,-9,-5,-5,-10,-7,-1,-14,-3,-11,-2,-12,2,-10,0,-15,2,-16,4,-14,5,-20,5,-21,6,-24,5,-27,5,-32,5,-33,1,-35,-1,-36,-3,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,24,5,24,3,21,2,24,-1,20,0,20,0,18,-2,17,0,18,-2,17,-5,17,-5,15,-6,15,-5,13,-5,14,-5,13,-7,11,-6,11,-6,11,-7,11,-7,9,-8,9,-8,8,-7,9,-6,10,-8,9,-8,0,0,11,-6,6,-8,8,-4,4,-5,6,-5,10,-1,3,-2,11,-4,11,18,24,19,9,6,4,3,4,5,1,6,1,9,2,11,-3,11,-4,15,-6,12,-6,17,-6,18,-11,17,-11,18,-12,20,-14,18,-16,18,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-7,-18,-8,-18,-9,-18,-9,-18,-9,-15,-8,-13,-8,-13,-8,-11,-11,-10,-9,-12,-11,-10,-10,-11,-10,-9,-10,-9,-11,-6,-12,-6,-10,-5,-10,-6,-10,-5,-10,-3,-10,-4,-10,-4,-11,-4,-11,-5,-9,-4,-10,-2,0,0,-9,-4,-8,-3,-8,-4,-8,-2,-5,-1,-6,-1,-3,-2,-3,-1,-1,-2,2,-1,1,0,3,2,5,1,4,2,6,2,8,4,11,3,10,6,13,7,12,9,14,11,14,13,14,16,15,17,14,19,15,22,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-11,20,-10,19,-9,20,-8,18,-6,18,-5,17,-5,17,-6,16,-3,17,-2,16,-1,16,-1,16,1,15,2,15,1,14,4,14,3,12,4,13,4,13,4,10,5,11,4,10,4,11,5,11,6,11,5,9,0,0,5,10,6,9,5,10,4,9,3,8,2,9,3,8,1,8,0,9,-2,7,0,7,-3,7,-4,8,-5,7,-7,7,-8,8,-9,7,-11,5,-12,6,-14,6,-15,4,-16,3,-18,3,-20,4,-20,1,-21,0,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-19,14,-17,14,-17,13,-17,14,-13,14,-12,12,-10,15,-10,12,-7,14,-8,12,-7,13,-6,15,-5,14,-5,13,-3,12,-2,14,-1,11,0,12,0,11,0,11,1,11,2,11,2,10,0,11,2,11,2,9,0,0,1,8,2,8,2,7,0,6,0,6,0,5,-2,4,0,3,-3,4,-3,1,-3,0,-4,-1,-6,-2,-7,-3,-10,-4,-9,-5,-11,-7,-10,-10,-11,-10,-11,-14,-12,-14,-10,-16,-13,-19,-12,-22,-11,-23,-9,-25,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,10,-19,8,-18,8,-19,7,-21,7,-21,5,-18,5,-20,6,-20,5,-20,5,-23,3,-26,3,-26,4,-26,6,-27,5,-27,3,-31,6,-28,6,-28,5,-27,8,-27,7,-30,9,-29,10,-28,10,-30,9,-33,10,-32,0,0,12,-34,10,-32,14,-30,7,-33,12,-29,11,-31,16,-29,16,-31,-4,-29,10,-28,17,-28,14,-27,13,-27,9,-25,12,-26,11,-27,11,-28,10,-25,12,-25,10,-26,11,-26,10,-28,8,-28,10,-26,10,-28,14,-26,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-3,11,-4,11,-5,9,-3,9,-2,8,-3,8,-1,8,-2,8,0,9,0,10,-1,10,-2,12,1,12,-1,11,0,10,1,13,1,11,-1,12,-1,12,1,13,-1,12,1,14,-2,13,0,15,-1,13,-2,12,0,0,-4,12,-2,14,-3,13,-3,13,-4,9,-3,11,-6,15,-3,8,16,25,10,14,-2,10,-6,10,-4,11,-2,10,-3,12,-1,12,-1,15,0,13,-2,13,1,15,-2,15,-2,16,-2,17,-3,18,-6,17,-7,18,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-4,24,-2,20,-2,21,2,21,1,20,1,18,2,17,4,15,3,15,5,14,6,14,7,15,7,11,7,12,6,11,8,10,9,8,9,9,9,6,11,8,9,7,10,7,8,7,9,5,10,3,9,5,0,0,8,4,6,4,7,4,6,4,4,4,4,4,3,3,2,4,2,5,-1,4,-2,4,-5,5,-5,5,-4,4,-8,3,-11,5,-11,4,-12,3,-15,4,-16,4,-18,3,-19,1,-21,1,-24,1,-25,-1,-25,-3,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-13,16,-11,14,-10,16,-9,16,-8,14,-7,13,-7,12,-5,11,-6,12,-3,11,-3,11,-3,12,-2,12,-2,10,-2,12,0,11,-1,12,0,10,2,11,1,11,3,11,1,9,1,10,1,9,3,10,3,11,0,0,1,7,2,8,3,7,2,8,1,6,2,4,1,4,3,4,1,2,3,-1,5,-1,5,-1,5,-1,6,-5,7,-5,8,-7,10,-8,12,-7,15,-9,16,-8,19,-10,21,-9,21,-8,24,-8,25,-6,27,-5,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,24,-15,22,-16,21,-18,19,-18,18,-17,17,-15,15,-17,13,-15,13,-16,10,-16,11,-18,9,-19,8,-17,7,-16,5,-15,8,-18,5,-17,6,-16,2,-16,4,-16,3,-17,3,-15,3,-16,2,-16,1,-20,3,-16,0,0,3,-13,1,-14,4,-14,7,-11,4,-14,6,-8,7,-13,3,-13,12,-16,-5,-4,-1,-7,9,0,14,-1,13,-1,9,-2,16,3,12,1,16,4,15,6,15,8,18,7,16,12,17,11,17,14,16,15,15,19,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,19,6,18,4,17,4,20,3,16,1,15,1,16,1,13,0,14,-1,14,-4,14,-4,13,-5,11,-5,12,-5,11,-6,10,-7,10,-6,9,-6,8,-7,6,-7,7,-7,8,-9,4,-6,6,-7,7,-7,5,-7,0,0,6,-6,4,-7,2,-6,5,-8,3,-6,5,-6,5,-5,3,-1,-5,-6,9,-4,6,6,5,3,6,2,5,0,5,8,5,5,5,9,2,11,6,11,4,13,4,12,5,15,3,16,3,18,2,20,1,19,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,31,12,29,10,30,8,31,6,26,5,24,6,24,2,22,1,22,-1,22,-1,21,-2,20,-4,19,-5,18,-5,17,-6,20,-9,13,-8,15,-8,14,-9,11,-10,12,-9,11,-11,11,-9,12,-8,11,-11,11,-10,0,0,10,-11,9,-10,8,-8,6,-5,7,-5,5,-5,7,-2,5,-3,5,-1,3,2,6,4,6,6,4,9,3,10,2,13,3,16,1,18,0,19,0,21,-2,23,-2,24,-4,29,-9,30,-11,32,-15,34,-15,33,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,6,8,6,8,8,9,7,5,7,6,7,7,9,6,7,5,11,5,10,6,12,5,12,5,12,6,11,5,11,7,14,5,11,6,12,7,12,6,12,8,13,8,12,7,11,9,14,9,14,8,14,9,0,0,14,10,12,10,12,10,13,10,12,10,12,9,12,12,10,10,17,8,11,13,10,13,10,9,11,8,11,5,12,8,14,8,11,8,13,7,12,7,13,8,13,7,13,8,12,8,15,9,14,9,14,10,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,23,19,22,17,19,17,23,17,21,15,18,13,20,11,18,10,17,9,16,9,19,10,19,8,18,5,19,4,16,6,18,4,15,3,15,3,13,2,16,3,14,1,16,2,12,2,12,0,14,1,13,1,0,0,12,4,13,0,10,0,12,5,9,4,7,8,10,5,2,10,9,-5,-22,3,-5,5,0,10,0,11,1,12,-6,11,-7,14,-9,9,-12,9,-14,11,-16,8,-18,10,-21,12,-21,9,-26,8,-26,4,-30,4,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-3,13,-3,13,-4,13,-2,14,-2,11,-1,9,1,10,1,11,2,9,3,11,3,12,3,9,7,11,5,12,5,12,5,14,5,14,4,10,4,12,7,12,5,15,6,15,6,13,6,12,7,13,5,16,0,0,6,13,6,15,7,16,-1,16,3,13,1,11,8,16,3,8,1,15,12,2,15,7,9,7,5,8,5,9,11,10,11,5,11,11,12,9,12,10,13,8,13,10,15,12,15,14,17,15,16,17,16,18,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,1,-33,0,-32,-1,-33,-5,-33,-3,-31,-4,-28,-6,-27,-7,-26,-7,-24,-9,-22,-11,-22,-12,-22,-12,-18,-15,-20,-11,-19,-16,-16,-14,-15,-13,-14,-14,-14,-14,-13,-12,-12,-16,-11,-13,-12,-15,-11,-16,-11,-14,-10,0,0,-14,-11,-15,-10,-13,-11,-10,-11,-10,-11,-8,-10,-9,-10,-6,-10,-6,-11,-4,-12,-3,-12,-2,-12,2,-14,4,-15,4,-16,7,-15,9,-17,11,-15,13,-15,16,-15,17,-17,21,-15,21,-18,26,-20,25,-15,26,-13,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-12,3,-9,4,-11,5,-10,6,-10,6,-9,3,-9,5,-8,5,-8,6,-7,5,-8,6,-7,8,-7,6,-9,7,-10,6,-8,10,-8,9,-8,9,-8,11,-10,9,-9,9,-10,10,-8,9,-9,9,-11,9,-12,10,0,0,-10,9,-11,10,-9,8,-12,11,-9,9,-11,11,-10,8,-11,6,-14,17,-10,2,-12,3,-11,10,-7,10,-5,11,-8,11,-4,12,-7,12,-7,13,-6,14,-5,16,-6,14,-9,17,-10,17,-10,18,-13,17,-13,16,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,14,-2,11,-3,11,-2,11,-4,10,-4,10,-5,9,-6,8,-6,10,-7,9,-8,10,-10,9,-10,10,-9,11,-11,9,-10,11,-11,10,-10,10,-11,10,-10,11,-11,11,-12,11,-12,12,-10,13,-10,13,-12,14,-13,0,0,12,-13,12,-12,14,-11,13,-10,11,-9,13,-11,11,-10,11,-10,12,-10,10,-9,10,-11,8,-9,10,-10,8,-12,8,-12,7,-14,9,-15,9,-16,8,-15,8,-17,9,-19,12,-19,12,-19,13,-21,16,-18,18,-19,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,18,11,19,9,21,8,21,6,19,6,18,5,17,4,17,2,17,2,14,0,16,0,16,-1,16,-1,16,-1,15,-1,14,-5,13,-4,13,-5,13,-5,12,-4,13,-5,12,-6,9,-5,12,-5,10,-7,12,-5,0,0,11,-6,9,-4,8,-5,9,-6,10,-5,11,-3,8,0,7,-1,5,7,4,-1,7,3,9,2,8,6,8,6,7,8,8,9,8,8,8,11,6,12,6,13,6,16,5,16,4,17,5,19,-1,19,1,20,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-15,26,-13,26,-10,23,-8,23,-7,24,-7,21,-6,20,-4,21,-2,22,0,19,0,19,2,19,3,19,4,18,3,16,6,16,4,16,7,16,6,12,7,13,7,13,8,13,5,13,10,12,10,12,8,13,0,0,10,11,8,10,7,9,7,10,4,10,6,13,2,12,6,5,-7,11,6,4,3,7,1,11,-3,12,-4,14,-8,11,-8,12,-8,13,-11,10,-10,11,-12,14,-16,12,-18,12,-20,13,-21,14,-23,11,-23,10,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-17,-27,-14,-26,-15,-28,-19,-25,-16,-25,-14,-22,-18,-17,-17,-16,-17,-17,-19,-16,-16,-12,-21,-11,-19,-13,-16,-12,-16,-10,-18,-9,-14,-8,-15,-8,-14,-8,-15,-4,-17,-6,-16,-4,-15,-3,-14,-4,-13,-5,-15,-6,0,0,-11,-7,-15,-4,-12,-2,-9,-7,-11,-8,-2,-8,-9,-6,-7,-7,-17,-9,8,12,-5,2,2,-6,8,-15,7,-15,11,-10,10,-15,9,-15,11,-12,14,-15,19,-14,21,-9,23,-9,25,-10,28,-9,29,-7,31,-8,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,11,-22,10,-22,7,-24,6,-22,5,-21,5,-18,3,-20,2,-18,1,-19,1,-17,1,-18,-1,-17,-1,-16,-2,-16,-3,-16,-4,-16,-4,-14,-5,-14,-4,-13,-5,-12,-6,-12,-7,-11,-5,-11,-6,-12,-7,-12,-6,-11,0,0,-6,-11,-7,-10,-6,-10,-6,-10,-5,-10,-3,-10,-2,-11,1,-10,1,-10,-1,-9,2,-9,2,-8,4,-9,6,-9,6,-9,9,-8,11,-10,12,-8,13,-7,15,-8,16,-6,19,-7,19,-6,21,-4,21,-2,22,-2,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,2,-18,1,-18,-1,-15,-2,-18,-2,-15,-3,-16,-2,-13,-3,-14,-3,-15,-5,-14,-7,-15,-9,-15,-10,-14,-9,-13,-9,-16,-13,-15,-10,-16,-8,-15,-8,-18,-8,-16,-12,-21,-9,-22,-10,-15,-9,-18,-12,-18,-10,-22,0,0,-9,-20,-7,-18,-8,-20,-5,-15,-9,-20,-6,-20,-5,-20,-11,-16,3,-14,-21,-12,-17,-15,-11,-18,-9,-16,-11,-16,-6,-11,-11,-17,-16,-16,-15,-17,-18,-22,-17,-21,-18,-20,-16,-22,-17,-24,-22,-28,-20,-30,-21,-31,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,27,-24,21,-23,23,-26,19,-27,17,-25,15,-22,14,-23,14,-23,13,-23,8,-21,8,-23,7,-24,6,-24,6,-23,5,-21,2,-23,3,-20,2,-21,0,-21,1,-19,-1,-19,-5,-20,-1,-18,-2,-20,-3,-20,-4,-19,0,0,-2,-17,-3,-18,-3,-18,-1,-17,0,-15,1,-16,2,-16,3,-15,5,-15,7,-13,7,-11,8,-10,10,-10,13,-10,15,-8,16,-7,16,-7,19,-5,19,-3,21,-2,23,-2,27,2,28,4,30,4,28,7,31,9,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-8,17,-8,25,-6,25,-4,24,-5,23,-5,21,0,20,-5,19,-2,25,1,17,0,29,2,33,1,30,2,28,-5,25,1,36,0,35,1,30,0,35,-9,34,-10,34,-4,39,-3,24,1,50,-1,38,-1,43,0,0,-3,39,-5,38,-13,42,-5,42,-14,32,-9,31,-6,31,-11,30,-51,41,-27,45,-3,42,-9,37,-12,40,-17,41,-21,47,-13,41,-14,47,-23,36,-25,35,-21,37,-27,34,-33,31,-34,38,-28,43,-33,37,-30,39,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,27,6,27,4,26,4,26,-1,22,-1,21,-5,20,-1,17,-6,19,-5,16,-8,16,-8,18,-11,14,-10,14,-8,12,-8,14,-12,14,-11,8,-9,11,-11,7,-15,10,-10,4,-11,6,-10,8,-9,1,-13,3,-8,0,0,6,-16,3,-12,8,-13,4,-13,6,-8,5,-10,6,-9,5,-5,12,-8,11,-1,15,-2,7,1,11,-5,10,-2,12,0,13,-1,16,5,16,6,14,7,19,5,16,12,8,5,19,7,21,16,20,15,19,17,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-20,-33,-18,-28,-21,-28,-23,-27,-20,-25,-21,-21,-22,-21,-18,-18,-20,-16,-21,-13,-22,-11,-23,-9,-21,-9,-20,-8,-20,-6,-21,-3,-19,-2,-20,-3,-19,-1,-19,-1,-18,2,-18,3,-15,0,-15,2,-17,4,-17,4,0,0,-16,3,-14,2,-13,1,-13,1,-10,-2,-10,-2,-9,-4,-8,-3,-8,-6,-5,-8,-7,-10,-3,-9,-5,-14,-3,-13,-1,-16,1,-19,5,-22,5,-24,6,-27,10,-26,11,-30,14,-29,13,-32,18,-33,20,-34,24,-33,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-9,2,-9,3,-8,3,-9,3,-7,3,-8,4,-8,4,-8,4,-8,6,-8,6,-10,7,-9,8,-10,7,-11,7,-11,6,-11,8,-11,8,-10,8,-13,8,-11,6,-12,7,-12,7,-13,7,-12,8,-14,7,-12,8,0,0,-14,10,-13,7,-14,6,-13,9,-15,6,-14,7,-14,7,-14,6,-14,6,-12,6,-14,8,-12,6,-13,6,-12,5,-12,7,-12,8,-12,8,-12,8,-12,6,-12,7,-11,8,-11,6,-11,9,-11,9,-12,6,-15,8,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,9,2,8,0,10,0,11,-1,12,1,8,0,10,-1,11,-2,12,-2,11,-2,12,-3,13,-2,13,-2,14,-2,15,0,15,-4,13,-4,14,-2,16,-3,15,-1,16,-2,16,-3,15,0,16,-3,18,-1,16,-1,0,0,18,-1,17,0,17,0,17,-1,17,0,18,0,17,0,16,0,16,1,16,0,16,0,16,1,14,1,15,1,14,0,14,0,14,0,15,-2,13,-1,14,-2,14,0,14,0,14,0,15,1,14,0,15,0,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-6,3,-5,5,-4,4,-5,5,-4,5,-5,6,-4,5,-3,4,-5,7,-2,6,-3,7,-3,7,-4,6,-2,7,-3,7,-3,8,-4,7,-3,8,-4,7,-2,7,-4,8,-4,9,-5,8,-4,9,-5,8,-4,9,0,0,-5,8,-6,7,-6,7,-6,8,-4,7,-5,9,-7,6,-4,7,-6,6,-5,6,-5,8,-4,9,-5,7,-5,6,-6,7,-4,8,-4,8,-4,7,-5,8,-5,9,-4,10,-7,10,-5,9,-6,11,-7,11,-10,12,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-1,23,1,22,0,20,3,20,2,19,2,17,3,17,3,15,5,15,6,14,8,12,9,13,8,12,10,11,8,8,10,9,9,6,9,8,9,7,9,7,8,6,10,5,8,5,8,4,10,5,8,4,0,0,7,5,9,4,8,4,9,5,7,4,6,6,6,6,4,7,3,8,2,5,2,9,2,8,0,9,-2,10,-2,10,-5,12,-6,12,-7,12,-9,14,-11,13,-13,14,-14,15,-15,14,-16,16,-19,15,-19,14,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,8,-33,5,-32,5,-31,0,-33,0,-31,0,-26,-2,-24,-2,-23,-5,-25,-5,-22,-7,-22,-9,-25,-9,-22,-10,-21,-12,-18,-12,-20,-10,-17,-12,-16,-11,-14,-12,-15,-13,-12,-14,-13,-12,-12,-13,-12,-15,-13,-14,-13,0,0,-13,-12,-13,-12,-11,-10,-10,-13,-11,-12,-9,-12,-9,-14,-6,-13,-6,-12,-4,-13,-3,-15,-1,-15,0,-16,1,-17,4,-17,4,-18,9,-19,11,-19,11,-21,14,-20,15,-21,19,-20,21,-19,25,-20,26,-18,26,-18,0,0,0,0,0,0,0,0,0,0
82,-96,4,0,0,0,0,0,0,0,0,0,4,-22,3,-21,1,-19,0,-20,0,-18,0,-17,-4,-16,-2,-14,-2,-14,-4,-13,-4,-15,-5,-15,-7,-13,-7,-13,-6,-12,-7,-11,-8,-11,-7,-10,-7,-11,-9,-9,-8,-9,-8,-8,-8,-7,-7,-7,-7,-8,-9,-7,0,0,-6,-8,-8,-8,-7,-8,-6,-6,-6,-8,-5,-7,-5,-10,-3,-8,-12,-5,-2,-8,-2,-13,0,-11,3,-8,5,-10,3,-9,6,-9,6,-13,9,-11,8,-12,10,-10,15,-9,12,-8,15,-9,17,-9,18,-7,19,-6,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-9,4,-8,4,-7,4,-10,6,-8,6,-8,7,-9,7,-8,7,-9,7,-7,9,-9,10,-10,10,-10,10,-11,10,-12,10,-11,12,-9,11,-13,11,-11,11,-12,11,-14,11,-13,12,-12,11,-11,13,-15,11,-13,12,0,0,-13,11,-15,10,-14,13,-14,11,-14,10,-16,10,-15,10,-14,8,-14,9,-14,9,-13,9,-14,8,-15,8,-12,9,-11,9,-11,10,-13,10,-11,9,-10,10,-10,9,-12,9,-12,8,-11,9,-12,10,-12,8,-12,9,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,6,3,8,0,7,1,10,1,8,3,8,1,9,1,7,-1,10,0,10,0,11,1,10,1,11,0,12,1,11,0,12,-1,12,-2,12,1,14,1,15,1,14,3,14,1,13,3,15,1,14,3,14,1,0,0,15,2,15,2,16,3,15,4,15,2,15,3,15,4,12,4,12,4,11,4,13,2,12,2,12,2,13,2,12,2,11,0,13,3,12,1,11,1,11,-1,12,1,13,2,14,0,14,1,14,1,14,1,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-17,-4,-16,-2,-16,-3,-17,-1,-14,-1,-14,1,-13,0,-11,1,-11,1,-11,1,-11,2,-11,4,-9,5,-10,5,-8,4,-7,6,-6,5,-5,7,-5,6,-6,7,-4,7,-4,7,-4,5,-5,6,-3,7,-4,6,0,0,-2,6,-4,5,-3,4,-2,4,-3,2,-3,2,-4,2,-3,0,-3,-1,-3,-2,-5,-3,-4,-5,-2,-6,-4,-7,-4,-8,-4,-10,-5,-12,-4,-13,-4,-14,-2,-16,-3,-18,-1,-19,-2,-20,-1,-22,1,-23,1,-24,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-2,-8,-1,-10,-4,-9,-5,-9,-5,-9,-5,-9,-6,-7,-7,-8,-7,-9,-6,-9,-10,-10,-10,-10,-10,-10,-10,-12,-11,-11,-10,-12,-11,-11,-9,-13,-10,-13,-11,-15,-11,-15,-12,-16,-9,-15,-10,-16,-11,-17,-11,-17,0,0,-10,-18,-10,-17,-9,-18,-9,-18,-9,-17,-9,-17,-9,-18,-8,-17,-7,-17,-9,-14,-9,-17,-9,-14,-8,-16,-8,-14,-8,-14,-10,-15,-12,-14,-10,-15,-11,-13,-12,-16,-13,-16,-13,-18,-11,-18,-12,-20,-12,-20,-12,-22,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-13,-31,-13,-28,-15,-27,-17,-25,-15,-23,-14,-19,-16,-19,-15,-17,-18,-12,-17,-10,-19,-10,-17,-10,-19,-6,-17,-5,-18,-2,-18,1,-17,0,-15,-1,-16,1,-16,5,-16,1,-14,2,-16,3,-15,3,-13,6,-16,6,0,0,-12,2,-12,4,-11,3,-9,1,-8,-1,-10,0,-9,-2,-11,-3,-6,-3,-7,-6,-7,-8,-8,-11,-6,-12,-4,-15,-6,-18,-7,-17,-5,-21,-3,-24,-1,-25,1,-29,-1,-32,1,-32,3,-37,3,-39,7,-41,11,-43,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-5,28,-3,28,-2,29,0,27,2,26,2,24,3,22,4,19,5,19,7,18,8,19,9,19,9,15,10,15,9,14,12,12,11,10,12,10,12,8,12,9,14,7,14,8,11,7,13,7,14,8,11,7,0,0,12,6,13,6,12,6,13,7,11,8,10,7,9,9,8,8,9,9,9,11,10,11,5,12,4,14,4,14,5,15,2,17,2,21,2,18,-1,20,-2,22,-4,22,-5,25,-7,25,-8,26,-13,27,-13,26,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,11,-35,6,-37,6,-42,2,-44,-1,-46,0,-42,-3,-46,0,-48,-7,-47,-11,-49,-18,-60,-18,-58,-12,-59,-16,-68,-19,-58,-23,-70,-19,-66,-21,-61,-14,-66,-22,-67,-16,-68,-19,-71,-12,-63,-12,-71,-19,-80,-18,-73,0,0,-17,-81,-20,-83,-25,-79,-5,-80,-11,-78,-4,-76,-21,-71,-1,-85,13,-57,-26,-56,-33,-67,-12,-66,-11,-56,-12,-64,-18,-65,-20,-70,-21,-70,-16,-60,-18,-57,-21,-60,-23,-62,-23,-62,-21,-58,-21,-70,-16,-62,-19,-61,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-3,25,0,22,-3,18,1,21,-1,18,2,16,2,16,6,13,5,13,7,7,9,10,9,10,11,7,12,8,11,8,13,8,13,7,11,4,14,7,13,6,15,9,15,5,15,7,16,5,15,3,13,7,0,0,13,8,12,2,12,2,13,4,11,2,11,2,9,-1,8,-3,9,-2,4,-3,6,-6,4,-11,3,-13,2,-13,4,-16,2,-15,1,-22,3,-23,4,-25,8,-29,8,-30,12,-35,14,-32,14,-39,15,-39,24,-41,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-2,12,-4,12,-2,13,1,13,0,12,1,8,2,10,4,9,4,13,5,9,8,12,8,11,7,13,9,13,9,13,14,14,10,16,9,15,12,17,10,17,10,18,11,19,10,16,9,17,11,21,9,20,0,0,8,20,10,22,8,20,8,21,6,18,7,19,9,18,7,18,7,18,6,14,8,14,6,12,8,14,10,13,10,12,11,10,16,13,14,14,14,12,18,13,17,15,18,15,20,17,20,20,19,24,19,25,0,0,0,0,0,0,0,0,0,0
84,-64,4,0,0,0,0,0,0,0,0,0,-22,-10,-22,-8,-20,-8,-22,-6,-20,-5,-18,-4,-18,-2,-16,-1,-16,0,-15,1,-15,3,-15,3,-14,4,-14,4,-12,5,-12,6,-11,7,-10,6,-11,8,-10,7,-10,8,-9,9,-9,8,-8,8,-9,10,-8,9,0,0,-7,8,-7,8,-7,8,-8,8,-7,7,-8,7,-10,6,-9,5,-10,5,-10,5,-11,3,-11,1,-12,2,-14,1,-12,-1,-15,-1,-17,-2,-16,-4,-17,-6,-17,-7,-18,-7,-19,-10,-18,-10,-19,-12,-20,-14,-19,-15,0,0,0,0,0,0,0,0,0,0
